Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1635739200000,59896.03000000,60296.16000000,59430.32000000,60200.61000000,15.32261400,1635740099999,915561.74419685,806,9.14255900,546320.22719513,0
1635740100000,60208.25000000,60330.18000000,60119.28000000,60261.26000000,3.18023100,1635740999999,191627.72579736,144,1.89014000,113916.48628445,0
1635741000000,60280.47000000,60662.11000000,60280.47000000,60586.84000000,3.29173100,1635741899999,199304.46176056,255,2.37035400,143539.12449110,0
1635741900000,60622.87000000,60656.34000000,60451.37000000,60522.70000000,1.86742300,1635742799999,113083.70660780,99,1.02450500,62016.41983113,0
1635742800000,60481.38000000,60815.07000000,60438.39000000,60687.90000000,17.37071600,1635743699999,1051617.35898007,403,15.56086600,941837.87183756,0
1635743700000,60728.55000000,60860.66000000,60633.11000000,60680.34000000,4.60131100,1635744599999,279183.65847844,147,2.34575600,142359.93459615,0
1635744600000,60659.25000000,60771.30000000,60648.15000000,60733.32000000,0.76007900,1635745499999,46129.75103710,47,0.47141400,28611.60807432,0
1635745500000,60698.02000000,60743.00000000,60588.01000000,60611.65000000,2.08556200,1635746399999,126533.99370291,66,1.65907900,100676.04809929,0
1635746400000,60582.37000000,60584.01000000,60390.91000000,60399.43000000,1.74996800,1635747299999,105902.88224182,82,0.77803600,47069.94521885,0
1635747300000,60370.44000000,60615.05000000,60276.11000000,60615.05000000,2.82885200,1635748199999,170805.87594295,87,1.84192700,111264.87196643,0
1635748200000,60632.65000000,60918.54000000,60632.65000000,60828.59000000,2.39287400,1635749099999,145484.20786360,151,0.97651500,59413.46831302,0
1635749100000,60805.68000000,60816.95000000,60681.91000000,60760.26000000,1.41402500,1635749999999,85897.53963474,66,0.87311600,53051.45431336,0
1635750000000,60763.60000000,62148.33000000,60763.60000000,62107.66000000,20.47077800,1635750899999,1260151.35942582,1279,15.62828500,961820.03555552,0
1635750900000,62065.14000000,62300.07000000,61889.51000000,62056.65000000,7.61463100,1635751799999,472830.05636558,634,4.36340800,270971.41927926,0
