Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1635739200000,4189.40000000,4193.77000000,4146.16000000,4192.59000000,219.92302000,1635740099999,919349.75459710,873,153.36779000,641835.93978260,0
1635740100000,4192.57000000,4211.57000000,4192.18000000,4209.69000000,40.81651000,1635740999999,171584.54873610,137,23.87119000,100391.88649790,0
1635741000000,4206.14000000,4241.93000000,4206.14000000,4240.28000000,49.06281000,1635741899999,207746.88512680,208,22.67425000,96018.65437430,0
1635741900000,4240.28000000,4240.28000000,4227.13000000,4233.50000000,5.93882000,1635742799999,25128.94300320,38,1.12167000,4746.84106500,0
1635742800000,4230.24000000,4242.83000000,4227.27000000,4234.29000000,370.99448000,1635743699999,1571370.46134660,309,339.93357000,1439963.10631270,0
1635743700000,4236.19000000,4245.90000000,4231.94000000,4236.56000000,10.63646000,1635744599999,45119.09070940,44,4.68882000,19888.89604360,0
1635744600000,4238.38000000,4250.46000000,4238.38000000,4250.21000000,16.78729000,1635745499999,71274.51787150,84,9.71211000,41232.44726240,0
1635745500000,4249.19000000,4251.32000000,4224.16000000,4224.16000000,5.40206000,1635746399999,22870.66673190,34,2.55687000,10823.29635180,0
1635746400000,4224.16000000,4226.02000000,4204.50000000,4209.62000000,23.64517000,1635747299999,99628.93141190,82,4.97079000,20924.67099240,0
1635747300000,4207.77000000,4232.93000000,4198.67000000,4232.29000000,13.06449000,1635748199999,55004.66220350,72,5.39662000,22736.96932110,0
1635748200000,4234.72000000,4256.99000000,4232.23000000,4247.63000000,13.57435000,1635749099999,57614.92227270,91,3.99001000,16949.73178380,0
1635749100000,4244.95000000,4244.95000000,4232.00000000,4235.03000000,8.56103000,1635749999999,36264.32270930,21,6.83471000,28948.06360830,0
1635750000000,4242.71000000,4316.50000000,4242.71000000,4311.78000000,78.37492000,1635750899999,336197.23826040,503,55.75469000,238995.28005660,0
1635750900000,4314.64000000,4319.88000000,4291.47000000,4297.64000000,28.75052000,1635751799999,123818.04296030,150,10.30950000,44391.55202000,0
1635751800000,4303.39000000,4306.67000000,4289.07000000,4294.57000000,34.35822000,1635752699999,147697.16052280,72,25.84145000,111125.76864500,0
1635752700000,4294.13000000,4303.92000000,4294.13000000,4298.82000000,5.70072000,1635753599999,24506.37022300,24,3.56417000,15320.81100000,0
